mean_hue,mean_saturation,mean_value,lesion_ratio,texture_contrast,disease
24.48,88.53,54.3,0.3834,107.63,Apple Black Rot
22.9,106.76,133.55,0.1551,76.54,Apple Black Rot
10.48,92.44,91.36,0.3225,78.3,Tomato Early Blight
67.18,126.67,186.98,0.0263,10.83,Healthy
26.94,111.19,127.4,0.4205,86.49,Tomato Early Blight
31.43,137.54,57.64,0.2839,75.74,Tomato Early Blight
22.97,121.76,102.26,0.2046,55.9,Corn Common Rust
34.26,177.06,132.49,0.1826,57.42,Rice Brown Spot
40.41,122.36,168.84,0.2066,69.02,Rice Brown Spot
26.94,150.29,77.23,0.0956,42.33,Corn Common Rust
29.2,125.97,143.88,0.1664,79.51,Rice Brown Spot
30.92,185.1,140.91,0.1623,68.85,Corn Common Rust
46.76,119.58,116.9,0.0187,25.63,Healthy
23.29,218.17,128.0,0.2313,38.19,Corn Common Rust
16.5,114.52,141.75,0.2517,82.9,Potato Late Blight
60.7,169.01,211.67,0.0149,14.61,Healthy
20.39,110.19,126.11,0.274,116.43,Apple Black Rot
11.91,107.47,130.7,0.3109,88.26,Apple Black Rot
28.76,176.09,165.04,0.1463,74.88,Corn Common Rust
40.31,218.12,157.25,0.2208,42.1,Rice Brown Spot
12.72,143.65,99.82,0.2923,116.71,Apple Black Rot
24.24,105.95,93.7,0.3577,55.12,Apple Black Rot
10.33,81.42,132.94,0.4062,74.85,Apple Black Rot
68.8,152.15,217.28,0.0227,13.23,Healthy
27.96,104.73,114.06,0.3833,61.39,Apple Black Rot
29.29,129.89,51.21,0.1532,74.99,Tomato Early Blight
21.86,183.44,94.43,0.1143,72.4,Rice Brown Spot
16.35,104.58,90.28,0.4631,50.03,Potato Late Blight
23.67,159.78,171.15,0.2487,32.25,Rice Brown Spot
29.45,183.54,79.98,0.0565,32.89,Corn Common Rust
16.89,142.2,149.24,0.2852,90.17,Potato Late Blight
26.42,104.04,69.16,0.4714,57.13,Tomato Early Blight
31.0,155.18,72.87,0.4847,60.37,Tomato Early Blight
21.75,163.14,149.11,0.1627,51.38,Corn Common Rust
37.76,148.25,108.84,0.2288,77.32,Rice Brown Spot
27.58,198.04,122.4,0.1495,40.23,Corn Common Rust
22.66,149.57,135.32,0.0566,61.8,Corn Common Rust
11.73,174.08,100.69,0.2933,106.76,Potato Late Blight
36.8,197.39,108.79,0.215,55.78,Corn Common Rust
56.17,128.25,151.03,0.0011,12.56,Healthy
23.3,139.04,56.13,0.2768,100.62,Apple Black Rot
10.25,123.75,138.27,0.1682,63.38,Apple Black Rot
21.73,186.3,151.61,0.2197,51.13,Rice Brown Spot
32.4,161.8,75.28,0.245,58.77,Tomato Early Blight
34.99,120.58,72.05,0.4169,87.97,Potato Late Blight
51.42,141.45,190.46,0.0006,15.38,Healthy
24.59,175.22,54.24,0.2429,92.11,Apple Black Rot
33.96,132.99,131.61,0.2061,65.42,Rice Brown Spot
19.23,173.29,132.75,0.394,100.0,Potato Late Blight
30.09,92.2,62.51,0.4477,74.12,Potato Late Blight
30.18,99.52,84.53,0.2675,118.5,Tomato Early Blight
12.97,156.47,117.11,0.3024,88.45,Potato Late Blight
51.42,116.3,194.34,0.022,17.69,Healthy
29.55,92.44,129.75,0.3656,109.03,Potato Late Blight
31.77,170.11,147.68,0.1569,57.04,Rice Brown Spot
30.14,191.85,164.89,0.0859,70.0,Corn Common Rust
33.81,102.67,137.93,0.4331,97.4,Potato Late Blight
23.7,207.14,144.0,0.2093,42.52,Rice Brown Spot
31.27,178.19,112.8,0.2366,61.4,Potato Late Blight
56.47,128.76,136.81,0.0106,22.43,Healthy
52.92,187.8,172.66,0.0074,17.12,Healthy
20.82,148.54,83.25,0.1698,76.17,Tomato Early Blight
44.46,198.49,150.68,0.0732,69.05,Rice Brown Spot
25.03,179.04,82.53,0.4794,114.03,Apple Black Rot
21.25,177.71,60.31,0.3417,118.53,Tomato Early Blight
62.14,170.46,150.73,0.0104,17.95,Healthy
25.14,131.68,124.02,0.3707,88.47,Potato Late Blight
34.21,140.36,57.7,0.1765,116.6,Apple Black Rot
20.76,149.58,95.8,0.1822,88.74,Potato Late Blight
15.45,216.5,97.6,0.1852,65.33,Corn Common Rust
17.82,107.11,109.77,0.4531,116.27,Apple Black Rot
21.23,141.23,71.31,0.4787,50.47,Tomato Early Blight
25.63,117.36,55.05,0.3696,76.99,Apple Black Rot
56.26,193.97,126.46,0.0218,22.34,Healthy
34.43,90.19,50.83,0.3018,56.48,Apple Black Rot
12.11,160.72,136.13,0.436,85.89,Potato Late Blight
10.23,138.95,111.33,0.3732,66.94,Potato Late Blight
21.12,185.4,160.02,0.06,75.58,Rice Brown Spot
46.43,127.08,129.71,0.0019,19.18,Healthy
15.38,139.71,109.48,0.2803,73.31,Potato Late Blight
30.13,162.3,143.27,0.3405,64.02,Tomato Early Blight
22.84,105.34,148.77,0.252,103.95,Tomato Early Blight
67.62,158.44,164.6,0.0081,17.37,Healthy
31.5,83.5,128.74,0.294,111.16,Apple Black Rot
27.64,122.76,94.25,0.3773,115.54,Potato Late Blight
27.58,170.01,156.36,0.1698,40.05,Rice Brown Spot
22.57,85.62,99.11,0.4745,57.38,Apple Black Rot
20.24,145.52,76.02,0.2058,61.23,Potato Late Blight
38.6,214.25,152.15,0.1941,71.32,Corn Common Rust
12.76,108.92,80.98,0.2375,86.05,Potato Late Blight
50.71,135.38,199.43,0.0237,16.16,Healthy
24.8,155.44,125.62,0.2382,73.82,Corn Common Rust
42.11,127.76,161.18,0.1198,56.08,Corn Common Rust
35.31,203.79,164.46,0.1997,51.96,Corn Common Rust
17.4,125.92,91.11,0.4027,76.94,Apple Black Rot
19.96,120.2,149.06,0.1965,55.75,Corn Common Rust
23.53,114.52,91.42,0.4063,111.72,Apple Black Rot
18.86,90.53,72.24,0.3317,92.54,Tomato Early Blight
14.17,104.37,76.76,0.2675,102.46,Apple Black Rot
23.92,121.58,92.89,0.3393,98.75,Potato Late Blight
14.29,130.01,91.2,0.4547,94.2,Tomato Early Blight
35.9,169.57,172.64,0.1378,79.02,Corn Common Rust
46.19,139.19,207.48,0.0061,20.16,Healthy
38.29,181.13,164.3,0.1846,50.41,Corn Common Rust
33.85,188.86,97.86,0.052,66.17,Corn Common Rust
53.95,187.42,124.41,0.0038,15.71,Healthy
22.76,162.06,90.46,0.3195,50.94,Apple Black Rot
19.7,160.35,140.18,0.2212,54.69,Apple Black Rot
21.98,98.17,124.31,0.4468,88.19,Apple Black Rot
42.22,137.55,196.46,0.013,29.94,Healthy
11.07,124.64,57.0,0.4052,92.59,Potato Late Blight
19.36,116.95,54.53,0.2725,115.05,Apple Black Rot
15.44,146.17,98.4,0.1519,106.31,Apple Black Rot
18.11,124.87,133.91,0.1352,57.4,Corn Common Rust
25.51,187.75,153.44,0.0529,40.36,Corn Common Rust
37.27,136.99,91.45,0.2281,67.5,Rice Brown Spot
47.75,160.54,151.98,0.0232,27.05,Healthy
33.97,135.65,122.13,0.1933,43.55,Corn Common Rust
14.63,139.98,136.15,0.454,100.7,Potato Late Blight
14.7,87.7,119.62,0.284,107.53,Potato Late Blight
33.96,123.11,104.93,0.3366,94.57,Tomato Early Blight
25.91,112.45,76.95,0.2168,98.62,Potato Late Blight
34.64,202.38,76.95,0.2054,71.08,Corn Common Rust
29.67,157.37,124.78,0.2027,65.21,Apple Black Rot
22.79,123.37,166.71,0.0987,57.87,Corn Common Rust
26.67,112.3,139.79,0.4608,72.77,Apple Black Rot
28.09,186.68,80.38,0.1996,70.64,Corn Common Rust
17.02,129.49,179.88,0.1153,67.41,Corn Common Rust
40.74,219.76,96.56,0.0581,50.56,Corn Common Rust
68.83,189.17,201.9,0.0122,10.27,Healthy
34.63,143.2,71.58,0.2029,61.19,Rice Brown Spot
16.17,203.71,138.15,0.1627,61.23,Rice Brown Spot
27.07,159.06,77.63,0.1777,66.65,Corn Common Rust
27.68,118.92,72.89,0.3589,114.97,Tomato Early Blight
19.29,141.85,113.31,0.3142,81.01,Apple Black Rot
26.24,160.44,121.51,0.3576,53.73,Tomato Early Blight
30.82,116.24,136.36,0.1885,114.75,Potato Late Blight
30.01,189.09,146.68,0.1797,43.76,Rice Brown Spot
28.69,161.03,91.38,0.2215,52.96,Potato Late Blight
26.69,163.74,66.97,0.1567,104.54,Tomato Early Blight
27.49,163.82,130.28,0.4863,87.52,Potato Late Blight
20.05,95.37,107.26,0.247,114.49,Tomato Early Blight
28.51,89.49,109.41,0.3959,54.66,Tomato Early Blight
12.11,140.68,138.1,0.459,96.13,Tomato Early Blight
44.29,188.35,111.3,0.21,74.23,Corn Common Rust
69.92,103.0,207.68,0.0187,29.47,Healthy
16.87,153.53,77.37,0.2451,70.85,Corn Common Rust
33.45,88.51,88.56,0.1749,64.76,Tomato Early Blight
21.87,85.52,144.24,0.1762,80.69,Tomato Early Blight
44.19,195.93,176.45,0.1379,43.92,Rice Brown Spot
18.16,109.94,73.25,0.1954,67.95,Potato Late Blight
50.61,130.25,217.04,0.0051,27.96,Healthy
18.57,166.47,65.49,0.179,83.92,Tomato Early Blight
24.09,160.38,63.71,0.3532,85.39,Potato Late Blight
17.79,80.31,67.42,0.4564,80.92,Apple Black Rot
30.56,85.7,91.86,0.3105,100.75,Tomato Early Blight
26.68,157.7,136.22,0.2599,87.66,Tomato Early Blight
44.68,208.95,110.86,0.089,54.47,Corn Common Rust
54.78,148.32,200.59,0.0108,27.2,Healthy
13.08,149.85,91.61,0.3298,113.23,Tomato Early Blight
43.54,137.55,132.45,0.1659,54.48,Corn Common Rust
15.75,135.27,87.22,0.3816,59.89,Apple Black Rot
31.37,96.53,135.43,0.3218,78.46,Apple Black Rot
25.1,137.66,105.88,0.2799,105.0,Apple Black Rot
33.47,169.4,83.75,0.4053,90.13,Potato Late Blight
20.25,187.28,94.26,0.0936,73.7,Corn Common Rust
28.79,142.35,110.03,0.1687,76.36,Apple Black Rot
44.56,145.83,142.15,0.0028,19.72,Healthy
33.71,174.47,110.99,0.4736,105.01,Tomato Early Blight
29.04,166.63,153.66,0.0809,54.36,Corn Common Rust
22.82,150.41,143.52,0.2815,99.57,Tomato Early Blight
14.27,83.05,70.44,0.2691,85.74,Tomato Early Blight
35.1,166.83,155.09,0.0747,61.32,Rice Brown Spot
23.78,123.82,133.92,0.2062,51.75,Apple Black Rot
15.39,113.6,96.57,0.4207,114.05,Tomato Early Blight
14.34,117.98,130.14,0.2872,102.55,Potato Late Blight
26.29,101.08,105.65,0.4498,108.45,Potato Late Blight
19.15,111.8,124.94,0.3009,56.13,Apple Black Rot
47.03,134.51,103.61,0.0288,23.36,Healthy
25.93,139.73,115.34,0.2173,70.7,Potato Late Blight
33.68,168.49,123.91,0.2471,69.71,Apple Black Rot
21.39,147.81,104.3,0.2714,80.5,Tomato Early Blight
17.8,114.0,57.89,0.305,68.27,Potato Late Blight
34.79,134.1,148.48,0.4786,81.7,Tomato Early Blight
11.55,89.24,66.28,0.3583,60.53,Apple Black Rot
21.22,171.32,68.94,0.1518,54.21,Apple Black Rot
62.54,175.39,169.35,0.0271,26.35,Healthy
33.54,158.42,96.24,0.4527,67.46,Tomato Early Blight
31.4,115.68,125.75,0.2533,70.92,Tomato Early Blight
53.2,172.97,212.83,0.0181,27.26,Healthy
18.6,193.49,128.46,0.1076,54.64,Rice Brown Spot
13.43,153.39,113.22,0.3543,77.31,Tomato Early Blight
32.56,114.4,123.3,0.3805,115.21,Apple Black Rot
41.19,172.31,146.97,0.1322,58.03,Rice Brown Spot
15.32,202.66,158.11,0.0709,58.84,Rice Brown Spot
18.56,218.06,93.62,0.0634,59.74,Corn Common Rust
60.99,161.69,203.62,0.0067,27.46,Healthy
32.04,149.64,173.21,0.2137,79.18,Corn Common Rust
40.95,178.21,128.81,0.0043,12.31,Healthy
60.76,145.79,127.18,0.0184,15.06,Healthy
18.98,162.36,132.07,0.3171,74.56,Tomato Early Blight
30.14,112.82,70.91,0.1796,82.67,Apple Black Rot
32.82,136.57,68.27,0.1989,90.35,Apple Black Rot
26.54,165.91,103.36,0.2365,35.93,Corn Common Rust
11.91,122.08,110.17,0.478,71.83,Apple Black Rot
14.03,145.64,147.12,0.3468,100.03,Apple Black Rot
21.72,143.91,126.35,0.2047,32.2,Corn Common Rust
11.92,115.47,105.07,0.2911,108.36,Potato Late Blight
28.15,209.93,175.85,0.1388,67.5,Corn Common Rust
26.9,145.82,57.01,0.2883,62.72,Apple Black Rot
10.73,170.72,65.63,0.227,86.28,Potato Late Blight
23.93,103.14,100.24,0.406,117.07,Tomato Early Blight
40.09,125.02,121.11,0.1259,45.83,Corn Common Rust
12.28,111.48,54.31,0.4233,77.88,Potato Late Blight
30.61,94.64,133.29,0.3391,109.13,Tomato Early Blight
12.69,156.81,100.05,0.3018,67.47,Apple Black Rot
22.85,110.85,107.3,0.2638,52.75,Tomato Early Blight
30.71,151.28,119.67,0.2635,66.37,Potato Late Blight
18.65,147.11,130.54,0.4814,78.01,Potato Late Blight
21.36,158.02,149.76,0.2169,82.18,Potato Late Blight
13.01,173.85,68.12,0.368,65.59,Tomato Early Blight
31.39,161.72,87.62,0.0842,50.91,Rice Brown Spot
63.92,172.42,182.85,0.0102,26.1,Healthy
59.85,160.24,119.56,0.007,10.47,Healthy
43.45,150.46,99.1,0.106,43.89,Corn Common Rust
52.59,105.06,104.73,0.0172,17.86,Healthy
36.93,214.68,155.98,0.1127,42.39,Corn Common Rust
24.71,119.77,147.38,0.3405,69.27,Tomato Early Blight
24.15,155.15,63.2,0.3296,63.61,Potato Late Blight
27.78,203.24,158.62,0.0949,41.3,Rice Brown Spot
17.63,128.99,91.26,0.0601,61.32,Corn Common Rust
17.51,141.11,152.77,0.0603,54.63,Corn Common Rust
36.83,168.44,146.32,0.1606,40.81,Corn Common Rust
39.16,196.02,86.93,0.0798,43.41,Corn Common Rust
27.23,132.56,88.84,0.2155,59.24,Rice Brown Spot
27.43,99.34,114.15,0.2409,112.03,Potato Late Blight
24.36,132.21,82.23,0.1796,73.76,Rice Brown Spot
44.23,154.56,112.67,0.0014,23.13,Healthy
19.01,147.13,77.06,0.1784,119.48,Potato Late Blight
22.62,91.73,66.91,0.2731,103.32,Tomato Early Blight
40.98,148.94,121.44,0.1739,50.56,Corn Common Rust
25.47,146.54,100.07,0.3757,51.65,Tomato Early Blight
16.97,92.92,59.95,0.3611,86.65,Potato Late Blight
16.2,208.99,179.12,0.1088,40.52,Rice Brown Spot
29.79,140.25,101.16,0.1714,70.15,Tomato Early Blight
26.85,164.69,82.43,0.3868,91.6,Tomato Early Blight
29.15,80.54,50.13,0.2823,60.04,Tomato Early Blight
28.92,214.31,105.62,0.1822,62.61,Corn Common Rust
34.51,141.23,83.42,0.1903,35.67,Corn Common Rust
14.59,139.41,91.14,0.1942,51.95,Tomato Early Blight
12.04,105.86,52.79,0.371,79.85,Tomato Early Blight
36.73,169.26,139.68,0.2111,49.89,Rice Brown Spot
32.76,136.59,72.72,0.1226,57.33,Rice Brown Spot
33.03,154.1,170.9,0.1313,37.16,Corn Common Rust
44.74,192.68,156.32,0.2489,60.27,Rice Brown Spot
65.13,161.45,169.74,0.0076,25.13,Healthy
33.11,112.58,62.78,0.3048,52.97,Potato Late Blight
24.71,186.51,131.22,0.1185,36.73,Rice Brown Spot
42.73,166.07,124.89,0.1137,74.71,Rice Brown Spot
17.47,169.12,51.36,0.263,88.8,Potato Late Blight
10.32,134.03,135.12,0.4852,89.6,Apple Black Rot
56.59,181.23,146.09,0.02,29.78,Healthy
16.01,89.5,81.49,0.1838,62.38,Potato Late Blight
21.1,133.19,137.36,0.4984,90.79,Apple Black Rot
49.6,147.65,138.2,0.0147,27.19,Healthy
35.84,156.47,151.24,0.1833,35.98,Corn Common Rust
36.02,195.35,166.01,0.15,66.51,Rice Brown Spot
38.41,187.37,154.42,0.1115,54.6,Corn Common Rust
40.5,139.62,83.81,0.2427,35.4,Corn Common Rust
17.45,107.78,127.15,0.3782,108.27,Tomato Early Blight
24.64,134.43,73.37,0.3732,107.4,Potato Late Blight
23.08,107.18,89.92,0.3595,95.71,Apple Black Rot
41.94,200.99,134.14,0.196,48.24,Rice Brown Spot
32.69,179.66,120.04,0.4197,73.61,Potato Late Blight
32.78,82.09,81.58,0.1699,103.66,Potato Late Blight
17.58,176.65,112.81,0.4757,97.33,Apple Black Rot
20.31,173.47,75.09,0.1922,90.92,Tomato Early Blight
51.34,106.2,140.72,0.0152,13.24,Healthy
22.48,90.63,61.41,0.4794,111.09,Apple Black Rot
32.08,121.48,88.73,0.3809,80.94,Apple Black Rot
26.91,165.54,115.65,0.1961,36.77,Rice Brown Spot
44.54,147.74,172.22,0.0175,18.03,Healthy
23.92,136.25,144.32,0.0576,61.0,Rice Brown Spot
11.46,135.24,109.52,0.4552,90.39,Apple Black Rot
22.63,149.55,128.3,0.1857,59.64,Corn Common Rust
51.89,129.63,117.22,0.0045,18.66,Healthy
33.43,172.37,105.1,0.144,55.12,Rice Brown Spot
12.0,127.68,113.01,0.44,104.84,Apple Black Rot
20.86,187.85,105.54,0.2475,46.28,Corn Common Rust
28.05,84.03,90.54,0.3307,90.65,Apple Black Rot
15.31,209.51,86.41,0.2072,60.9,Corn Common Rust
66.22,101.29,127.2,0.017,17.03,Healthy
26.1,118.1,55.46,0.3598,113.17,Tomato Early Blight
37.56,210.55,161.89,0.0894,52.06,Rice Brown Spot
24.7,115.31,129.98,0.3441,107.82,Potato Late Blight
21.65,124.54,51.46,0.2366,110.64,Apple Black Rot
27.45,121.43,122.62,0.0542,70.98,Rice Brown Spot
33.13,196.37,127.57,0.0954,63.33,Corn Common Rust
15.37,134.3,151.65,0.0988,59.9,Corn Common Rust
26.93,171.17,123.16,0.1266,71.96,Rice Brown Spot
29.23,120.73,72.84,0.1607,56.02,Rice Brown Spot
31.95,135.79,145.98,0.167,56.86,Potato Late Blight
30.56,170.28,102.49,0.3079,73.13,Apple Black Rot
21.36,125.16,143.69,0.4944,105.75,Apple Black Rot
22.96,104.58,85.81,0.4963,97.9,Apple Black Rot
11.17,172.81,59.11,0.2501,97.07,Potato Late Blight
41.66,133.11,191.92,0.0124,23.06,Healthy
25.06,137.71,80.83,0.2413,59.97,Rice Brown Spot
22.26,96.95,55.1,0.3661,64.54,Apple Black Rot
23.67,127.51,142.24,0.1755,69.64,Tomato Early Blight
59.42,184.38,138.99,0.0206,29.23,Healthy
21.74,159.93,115.06,0.2456,39.04,Corn Common Rust
14.87,161.05,77.27,0.406,76.05,Apple Black Rot
39.12,206.64,76.56,0.1884,37.0,Rice Brown Spot
21.49,147.58,111.86,0.349,54.14,Potato Late Blight
35.26,159.6,84.63,0.0817,77.46,Rice Brown Spot
28.02,132.76,115.0,0.1209,45.14,Corn Common Rust
27.52,138.9,143.87,0.2724,67.07,Potato Late Blight
29.15,175.35,132.73,0.092,67.11,Corn Common Rust
18.87,158.02,106.39,0.2414,98.65,Potato Late Blight
27.37,139.58,126.45,0.0761,52.03,Corn Common Rust
22.84,161.91,135.92,0.1527,44.41,Rice Brown Spot
20.39,170.8,74.26,0.182,72.31,Tomato Early Blight
33.54,97.44,97.16,0.182,93.8,Tomato Early Blight
50.85,112.54,130.43,0.0193,15.51,Healthy
65.85,157.71,206.88,0.0179,26.2,Healthy
25.29,109.57,75.57,0.2646,61.52,Potato Late Blight
38.72,158.47,117.96,0.1688,59.48,Rice Brown Spot
25.39,88.16,58.78,0.2101,86.27,Apple Black Rot
32.37,121.46,109.64,0.171,49.37,Rice Brown Spot
49.26,129.35,131.92,0.01,21.15,Healthy
28.76,176.46,142.93,0.1858,76.59,Corn Common Rust
28.4,100.84,63.29,0.3735,72.38,Tomato Early Blight
44.13,100.09,208.39,0.0007,14.19,Healthy
35.25,143.91,153.38,0.202,45.63,Corn Common Rust
21.29,217.66,141.02,0.2369,45.17,Rice Brown Spot
32.16,95.14,65.19,0.265,53.81,Potato Late Blight
35.15,192.93,133.26,0.0914,55.22,Corn Common Rust
13.68,100.66,81.33,0.3726,77.88,Tomato Early Blight
23.07,139.86,156.17,0.2319,48.51,Rice Brown Spot
49.71,176.52,117.18,0.0197,22.83,Healthy
18.48,86.24,98.62,0.1882,67.4,Apple Black Rot
33.0,168.56,130.05,0.2352,73.57,Rice Brown Spot
29.12,94.67,119.03,0.4808,97.78,Tomato Early Blight
41.61,166.94,127.75,0.0073,16.12,Healthy
39.07,206.14,85.1,0.2405,46.44,Rice Brown Spot
33.59,167.13,78.94,0.4241,106.23,Apple Black Rot
36.15,194.2,144.55,0.1005,73.65,Corn Common Rust
17.68,165.97,145.95,0.2262,56.17,Apple Black Rot
64.62,167.66,176.33,0.0121,21.56,Healthy
25.11,126.09,132.87,0.4403,99.66,Potato Late Blight
20.06,126.88,120.56,0.4728,59.94,Apple Black Rot
36.76,131.26,114.86,0.2273,32.36,Rice Brown Spot
18.74,166.25,73.31,0.3933,94.07,Apple Black Rot
23.95,197.55,113.24,0.0779,30.54,Corn Common Rust
46.65,105.62,130.68,0.0158,13.43,Healthy
21.02,167.99,100.55,0.3277,59.69,Tomato Early Blight
16.25,87.34,116.31,0.3584,79.06,Potato Late Blight
27.32,201.76,168.46,0.2206,63.68,Corn Common Rust
21.45,105.66,125.21,0.3295,72.46,Potato Late Blight
17.79,164.57,75.96,0.1506,76.35,Apple Black Rot
21.13,161.87,94.16,0.05,75.75,Corn Common Rust
28.56,96.78,62.04,0.1737,100.68,Apple Black Rot
46.96,170.56,136.92,0.0073,11.46,Healthy
25.53,151.87,61.06,0.1625,119.6,Potato Late Blight
11.35,98.99,53.9,0.2871,106.17,Tomato Early Blight
37.17,188.65,159.66,0.2255,68.66,Corn Common Rust
10.25,157.8,96.07,0.4961,83.83,Apple Black Rot
24.06,107.94,128.25,0.4603,77.9,Tomato Early Blight
12.43,150.64,84.56,0.1524,78.24,Tomato Early Blight
13.05,81.83,140.41,0.174,119.43,Potato Late Blight
16.03,103.36,56.82,0.2155,88.89,Apple Black Rot
27.52,157.69,166.35,0.2311,54.65,Rice Brown Spot
56.11,184.0,140.72,0.0213,29.88,Healthy
18.01,96.43,128.32,0.1929,94.44,Apple Black Rot
18.16,82.08,126.09,0.165,110.53,Potato Late Blight
11.95,175.54,74.7,0.4509,61.82,Apple Black Rot
29.49,141.23,82.71,0.2173,55.12,Corn Common Rust
64.59,188.82,123.91,0.0085,15.78,Healthy
33.81,155.45,94.55,0.3573,99.07,Apple Black Rot
17.76,130.33,129.64,0.4088,95.19,Tomato Early Blight
12.96,120.15,129.31,0.2272,63.02,Apple Black Rot
15.25,106.09,146.96,0.4071,98.97,Tomato Early Blight
33.69,94.12,126.35,0.188,118.69,Potato Late Blight
21.95,156.8,112.86,0.3716,81.52,Apple Black Rot
67.53,188.75,175.05,0.0242,11.38,Healthy
56.86,167.14,211.16,0.0186,26.5,Healthy
30.36,118.21,63.23,0.2188,66.62,Apple Black Rot
24.11,173.3,108.65,0.3341,103.15,Tomato Early Blight
21.12,166.9,158.1,0.086,35.49,Rice Brown Spot
25.29,188.39,72.79,0.188,45.81,Corn Common Rust
28.13,116.04,58.71,0.2208,88.18,Tomato Early Blight
17.45,88.98,141.08,0.1521,83.87,Apple Black Rot
30.31,114.28,61.15,0.3496,90.71,Apple Black Rot
28.54,134.67,138.45,0.3439,87.42,Tomato Early Blight
28.22,110.15,109.94,0.2204,112.32,Tomato Early Blight
25.16,215.21,151.17,0.1695,74.04,Corn Common Rust
49.42,149.92,125.99,0.0262,11.74,Healthy
20.59,114.21,146.16,0.3057,84.23,Tomato Early Blight
32.93,135.36,79.92,0.3008,71.85,Tomato Early Blight
20.84,164.85,86.33,0.4279,115.87,Potato Late Blight
28.54,160.51,134.5,0.2883,53.59,Apple Black Rot
11.56,118.75,108.34,0.3125,93.34,Tomato Early Blight
20.59,194.94,130.03,0.0908,44.6,Rice Brown Spot
10.67,118.05,60.61,0.336,77.7,Tomato Early Blight
20.68,127.51,139.8,0.3338,99.51,Tomato Early Blight
21.17,92.34,70.6,0.1503,52.75,Apple Black Rot
50.74,133.37,146.52,0.0042,24.76,Healthy
36.84,180.03,150.44,0.2039,78.77,Rice Brown Spot
18.54,144.85,56.84,0.4641,58.36,Potato Late Blight
40.26,181.41,105.84,0.0883,57.77,Rice Brown Spot
18.5,166.96,58.81,0.4219,109.33,Potato Late Blight
16.85,162.77,123.99,0.4262,58.34,Potato Late Blight
14.91,101.17,54.15,0.2627,89.18,Potato Late Blight
26.67,123.54,145.31,0.4017,115.11,Tomato Early Blight
17.78,173.22,160.38,0.0703,69.59,Rice Brown Spot
22.06,85.73,67.46,0.3976,99.82,Potato Late Blight
69.09,172.76,210.71,0.0229,21.83,Healthy
35.0,182.34,136.27,0.148,56.43,Corn Common Rust
13.41,152.8,131.31,0.2401,104.21,Potato Late Blight
20.91,145.83,93.77,0.2469,89.07,Tomato Early Blight
11.74,169.34,88.78,0.2508,100.73,Tomato Early Blight
10.92,127.48,83.63,0.4722,50.84,Apple Black Rot
58.71,106.31,138.95,0.0202,16.75,Healthy
25.35,103.66,98.35,0.3002,55.24,Apple Black Rot
53.7,184.57,113.71,0.0077,26.56,Healthy
11.55,137.68,61.92,0.1628,53.69,Tomato Early Blight
19.57,151.91,104.75,0.4803,67.56,Apple Black Rot
51.8,161.67,203.3,0.0104,23.08,Healthy
17.89,90.66,86.68,0.1848,103.66,Apple Black Rot
31.71,136.46,101.66,0.2496,86.2,Potato Late Blight
25.77,125.56,98.2,0.4152,69.73,Tomato Early Blight
42.87,141.91,113.6,0.0052,20.95,Healthy
23.66,104.97,84.33,0.4482,89.15,Tomato Early Blight
28.79,170.62,124.34,0.3365,110.25,Tomato Early Blight
17.39,188.31,172.58,0.1651,36.31,Rice Brown Spot
29.16,120.64,137.98,0.377,112.95,Apple Black Rot
23.15,151.62,162.95,0.1453,63.49,Corn Common Rust
35.29,150.1,90.24,0.2013,53.71,Rice Brown Spot
27.39,174.42,149.55,0.3076,67.68,Potato Late Blight
69.54,120.91,115.64,0.0061,25.38,Healthy
40.16,200.86,104.97,0.0518,49.11,Rice Brown Spot
42.6,153.84,209.59,0.0116,26.59,Healthy
44.31,138.69,118.98,0.1476,70.65,Corn Common Rust
33.45,107.56,83.22,0.3953,103.57,Potato Late Blight
15.12,159.8,123.85,0.1723,77.11,Potato Late Blight
15.09,175.46,141.85,0.1664,73.72,Potato Late Blight
22.17,182.89,140.44,0.2201,67.04,Rice Brown Spot
15.47,112.62,125.62,0.2878,92.57,Apple Black Rot
22.28,149.17,171.67,0.0961,44.46,Corn Common Rust
45.04,135.48,148.0,0.0017,21.67,Healthy
26.85,81.67,83.89,0.4285,55.42,Tomato Early Blight
20.27,130.46,50.74,0.3921,96.29,Potato Late Blight
22.86,165.68,96.69,0.2759,87.53,Potato Late Blight
40.93,165.69,122.26,0.1272,78.34,Corn Common Rust
27.23,166.36,149.68,0.2994,57.78,Apple Black Rot
27.51,207.77,92.44,0.2153,57.88,Corn Common Rust
24.34,160.17,125.3,0.2179,62.54,Rice Brown Spot
20.78,132.91,102.76,0.206,53.58,Corn Common Rust
44.99,133.27,212.79,0.0103,29.76,Healthy
18.23,85.25,95.02,0.2392,74.63,Tomato Early Blight
23.04,92.46,146.14,0.3726,103.61,Potato Late Blight
40.66,177.45,116.13,0.014,22.12,Healthy
21.43,109.03,106.19,0.1892,92.67,Apple Black Rot
20.82,133.55,97.7,0.2862,112.12,Apple Black Rot
63.56,148.74,213.44,0.0017,28.62,Healthy
28.58,147.87,175.48,0.0786,58.99,Rice Brown Spot
33.8,162.36,120.9,0.3557,107.44,Apple Black Rot
12.06,95.45,93.96,0.3287,68.12,Potato Late Blight
18.46,206.97,121.94,0.1926,49.65,Rice Brown Spot
32.13,210.96,70.68,0.2121,77.42,Corn Common Rust
