N,P,K,temperature,humidity,ph,rainfall,label
25.7,69.3,19.89,31.33,52.15,6.25,103.28,Pigeonpeas
32.19,64.9,17.17,31.26,61.29,5.6,154.86,Pigeonpeas
22.93,72.24,21.71,37.58,54.12,6.5,147.7,Pigeonpeas
35.6,63.01,21.86,31.96,54.68,6.07,151.94,Pigeonpeas
26.77,68.84,23.95,35.21,59.35,5.66,120.55,Pigeonpeas
33.47,72.98,23.68,30.84,53.85,4.77,134.21,Pigeonpeas
33.73,64.58,21.6,31.98,56.62,5.14,147.34,Pigeonpeas
8.81,66.33,15.92,35.82,58.89,6.35,186.83,Pigeonpeas
21.57,78.42,22.33,31.85,60.68,5.17,122.33,Pigeonpeas
23.7,64.19,17.36,35.86,53.71,6.26,129.32,Pigeonpeas
16.12,69.19,15.22,32.31,48.16,7.49,170.06,Pigeonpeas
28.16,75.4,17.88,33.99,56.0,6.2,179.99,Pigeonpeas
32.08,69.3,15.86,29.86,54.39,6.07,113.92,Pigeonpeas
42.57,76.98,21.51,32.7,53.94,5.29,147.13,Pigeonpeas
29.11,59.74,20.84,32.07,45.46,5.35,133.63,Pigeonpeas
39.3,70.98,16.66,33.84,47.26,6.81,132.04,Pigeonpeas
26.91,75.79,16.78,28.66,52.08,6.78,103.22,Pigeonpeas
9.8,64.68,21.38,35.8,52.68,5.69,176.73,Pigeonpeas
15.81,65.07,20.48,33.74,52.45,6.03,76.57,Pigeonpeas
23.39,70.33,17.54,32.66,57.23,5.74,149.69,Pigeonpeas
21.48,66.21,21.53,32.93,52.07,6.17,164.65,Pigeonpeas
14.69,74.74,19.16,33.67,60.99,4.97,125.49,Pigeonpeas
25.7,62.6,24.34,30.14,52.22,6.15,111.94,Pigeonpeas
25.03,69.48,19.17,32.24,52.35,4.86,153.84,Pigeonpeas
38.47,67.62,20.56,34.4,48.65,7.28,150.56,Pigeonpeas
37.7,62.92,24.55,34.63,57.77,6.18,138.17,Pigeonpeas
35.0,68.38,15.08,29.43,54.07,6.23,143.44,Pigeonpeas
35.12,55.31,20.36,27.5,58.8,5.93,156.54,Pigeonpeas
22.1,75.5,22.6,34.1,54.35,6.43,125.56,Pigeonpeas
32.85,77.81,22.68,30.49,56.81,5.03,160.74,Pigeonpeas
30.32,55.81,17.1,31.72,53.5,5.09,155.7,Pigeonpeas
29.07,66.29,18.11,35.38,63.28,5.64,128.17,Pigeonpeas
30.57,65.26,19.65,34.53,45.45,6.99,147.0,Pigeonpeas
24.93,66.94,19.91,27.74,62.47,6.03,157.18,Pigeonpeas
33.45,61.12,21.18,31.76,59.23,4.4,142.27,Pigeonpeas
23.73,70.2,21.18,30.55,51.44,5.92,120.34,Pigeonpeas
32.76,65.19,12.73,31.47,49.81,4.78,110.97,Pigeonpeas
28.18,75.8,20.78,30.83,57.28,5.66,125.9,Pigeonpeas
20.29,56.55,19.03,32.93,54.52,5.69,118.99,Pigeonpeas
31.3,59.27,21.94,29.74,51.24,4.9,131.21,Pigeonpeas
33.6,70.72,22.45,33.94,49.48,5.75,123.54,Pigeonpeas
35.82,60.02,22.23,34.96,64.15,5.69,164.59,Pigeonpeas
41.76,63.64,16.16,27.33,58.56,4.59,134.76,Pigeonpeas
30.23,68.66,21.06,33.11,61.39,5.29,126.38,Pigeonpeas
22.67,72.69,22.25,33.74,60.92,5.12,190.85,Pigeonpeas
37.02,72.1,24.45,27.94,52.38,5.45,164.84,Pigeonpeas
20.94,72.23,23.43,34.41,56.42,5.26,121.71,Pigeonpeas
35.31,72.37,19.9,31.35,44.87,5.2,197.56,Pigeonpeas
19.5,68.68,22.52,29.05,55.92,6.7,145.34,Pigeonpeas
45.43,57.07,22.65,32.02,58.86,6.33,124.84,Pigeonpeas
28.93,55.89,21.51,33.32,58.19,6.79,155.11,Pigeonpeas
28.43,61.99,18.22,35.76,62.18,5.82,146.27,Pigeonpeas
21.85,74.83,21.66,37.84,50.61,5.72,151.36,Pigeonpeas
31.54,66.15,17.82,34.92,58.61,5.31,182.27,Pigeonpeas
34.81,68.34,20.2,34.02,50.69,6.02,85.81,Pigeonpeas
32.98,57.74,23.76,31.59,53.94,5.53,137.08,Pigeonpeas
36.37,51.95,23.19,33.43,48.96,5.19,191.1,Pigeonpeas
21.59,60.29,22.84,33.43,50.31,6.16,116.79,Pigeonpeas
34.38,74.13,21.33,33.49,63.81,6.0,112.5,Pigeonpeas
30.31,80.54,17.46,31.51,57.08,5.96,117.99,Pigeonpeas
34.51,82.0,20.49,30.01,47.26,6.19,175.36,Pigeonpeas
30.47,67.48,18.53,29.5,59.17,6.69,102.49,Pigeonpeas
37.44,71.09,23.5,28.81,48.17,5.89,158.83,Pigeonpeas
38.73,71.91,19.39,29.68,61.15,5.28,189.78,Pigeonpeas
25.72,77.44,21.7,32.12,52.4,5.74,156.78,Pigeonpeas
27.98,63.79,19.59,32.72,44.36,6.34,118.06,Pigeonpeas
20.29,56.95,15.52,28.77,51.45,7.46,130.54,Pigeonpeas
28.61,70.0,20.33,32.29,49.02,7.09,194.7,Pigeonpeas
16.98,61.1,19.3,29.85,57.53,5.45,204.54,Pigeonpeas
34.94,68.83,22.57,35.54,52.18,5.39,147.15,Pigeonpeas
32.89,68.37,16.06,30.29,54.63,5.94,199.24,Pigeonpeas
18.84,70.66,23.72,38.75,52.98,6.37,160.67,Pigeonpeas
28.72,66.88,21.09,25.54,58.41,6.09,138.88,Pigeonpeas
40.29,63.28,18.99,37.98,50.84,5.59,140.96,Pigeonpeas
32.75,68.8,16.77,31.04,51.96,5.94,156.71,Pigeonpeas
30.11,56.4,22.66,33.19,61.92,6.33,175.29,Pigeonpeas
30.42,75.91,21.31,32.23,66.36,6.67,160.78,Pigeonpeas
19.52,59.45,20.73,32.9,51.93,6.11,188.69,Pigeonpeas
31.85,60.37,19.72,30.29,53.06,5.69,131.86,Pigeonpeas
19.66,66.7,18.6,24.44,65.26,6.82,134.65,Pigeonpeas
27.62,60.18,24.24,37.72,55.78,6.77,149.82,Pigeonpeas
19.15,64.93,20.33,31.25,53.91,5.93,142.78,Pigeonpeas
27.83,60.87,18.21,28.97,59.89,4.42,176.72,Pigeonpeas
36.16,65.61,13.49,31.51,54.68,5.24,130.83,Pigeonpeas
37.06,71.66,17.69,28.11,53.36,5.84,158.65,Pigeonpeas
24.15,70.7,24.84,34.74,54.76,5.86,135.19,Pigeonpeas
34.88,43.58,20.11,28.1,49.36,4.52,56.13,Mothbeans
27.12,50.63,18.67,30.44,47.02,9.53,32.84,Mothbeans
30.22,50.47,18.01,28.85,60.5,3.5,58.16,Mothbeans
11.92,41.46,24.07,26.84,45.16,6.43,75.76,Mothbeans
16.05,40.93,23.74,31.72,51.85,4.74,76.08,Mothbeans
37.47,51.74,17.97,27.9,51.5,7.29,68.82,Mothbeans
33.0,40.77,23.44,28.63,56.79,9.13,39.99,Mothbeans
27.28,44.18,16.08,28.69,68.2,3.76,52.14,Mothbeans
31.5,48.27,19.72,25.4,53.95,5.52,27.86,Mothbeans
34.97,53.49,20.13,28.46,59.21,7.11,62.67,Mothbeans
25.64,55.7,20.8,28.39,44.56,7.22,43.14,Mothbeans
23.51,42.4,17.33,32.25,60.82,9.87,38.74,Mothbeans
27.95,39.42,18.26,26.16,60.25,6.11,64.52,Mothbeans
31.28,61.9,16.3,30.52,59.67,5.17,63.83,Mothbeans
29.6,46.08,17.94,26.56,65.31,6.75,61.3,Mothbeans
22.56,42.63,22.7,25.3,49.9,6.81,53.75,Mothbeans
26.38,49.97,21.73,29.47,46.34,6.29,65.94,Mothbeans
33.09,38.92,20.88,24.04,52.79,9.83,41.84,Mothbeans
22.29,52.28,16.14,26.73,56.23,5.72,49.85,Mothbeans
32.15,50.13,20.67,27.32,54.81,6.55,57.65,Mothbeans
24.39,46.36,17.53,27.93,47.43,4.94,55.41,Mothbeans
28.83,52.39,18.92,28.82,55.94,7.47,43.21,Mothbeans
28.43,49.78,20.02,23.83,53.5,10.0,48.45,Mothbeans
22.95,49.83,20.78,30.39,44.64,7.94,59.14,Mothbeans
26.61,49.62,22.57,29.74,45.36,8.08,51.77,Mothbeans
27.96,47.96,19.62,30.38,51.98,4.93,48.07,Mothbeans
28.62,55.18,21.51,26.3,68.03,7.18,66.85,Mothbeans
26.55,50.83,22.1,30.44,59.11,8.17,48.96,Mothbeans
23.93,49.58,22.33,27.55,59.16,9.11,42.19,Mothbeans
22.27,46.62,20.77,26.95,60.95,7.44,52.94,Mothbeans
18.53,39.28,20.7,23.73,58.83,6.49,88.98,Mothbeans
41.92,46.37,19.73,29.99,63.14,4.09,32.4,Mothbeans
23.61,51.14,21.24,30.14,45.0,3.5,62.15,Mothbeans
22.32,34.88,20.36,29.59,51.74,6.01,50.71,Mothbeans
25.18,39.07,18.21,29.04,54.51,7.02,41.3,Mothbeans
26.37,33.89,20.45,30.86,43.29,5.8,56.2,Mothbeans
35.33,44.7,18.27,24.06,53.15,10.0,55.62,Mothbeans
27.36,49.51,19.97,26.37,57.65,7.12,52.7,Mothbeans
21.4,55.65,21.66,26.89,58.76,5.94,43.7,Mothbeans
22.75,36.43,21.18,24.34,44.82,3.5,51.53,Mothbeans
26.56,45.46,17.39,25.66,55.4,5.86,56.06,Mothbeans
21.97,48.63,23.26,29.17,49.92,7.17,49.79,Mothbeans
27.55,45.46,19.59,28.42,46.29,5.1,36.88,Mothbeans
17.5,39.89,20.4,26.21,55.71,6.81,30.35,Mothbeans
31.59,52.57,17.52,28.84,47.15,6.91,38.27,Mothbeans
16.29,45.11,19.69,27.2,45.1,6.1,55.53,Mothbeans
27.22,48.64,18.32,30.34,45.15,7.54,65.8,Mothbeans
30.51,46.23,18.68,30.07,43.61,5.17,48.03,Mothbeans
35.24,49.87,17.58,27.38,48.66,5.6,63.51,Mothbeans
18.93,57.55,22.07,30.18,49.61,6.51,36.38,Mothbeans
24.22,50.59,23.24,25.79,50.22,6.5,36.8,Mothbeans
31.2,42.98,19.51,27.1,47.57,6.74,50.07,Mothbeans
25.18,42.95,20.8,31.31,53.37,8.37,36.86,Mothbeans
28.49,40.64,16.31,26.52,59.95,8.29,55.23,Mothbeans
17.92,46.27,20.75,28.35,40.98,5.3,51.78,Mothbeans
30.85,33.77,19.59,28.29,57.81,7.88,59.05,Mothbeans
22.5,35.57,19.02,30.0,61.21,7.9,57.33,Mothbeans
29.87,44.02,19.67,31.34,46.61,9.37,48.88,Mothbeans
35.78,38.71,21.46,26.53,43.65,7.11,63.86,Mothbeans
22.22,38.13,19.77,27.83,55.93,8.29,51.83,Mothbeans
39.1,48.9,19.13,24.78,50.86,6.2,63.3,Mothbeans
30.39,40.13,20.43,29.34,62.05,8.19,61.06,Mothbeans
27.88,49.93,23.12,25.33,50.32,5.49,56.77,Mothbeans
35.19,43.77,14.02,27.18,58.21,7.62,57.32,Mothbeans
25.75,39.51,21.29,26.33,66.15,7.68,45.97,Mothbeans
23.68,46.92,19.4,30.23,53.67,5.56,73.77,Mothbeans
27.81,52.31,18.48,28.73,54.44,3.68,75.17,Mothbeans
35.57,45.02,17.24,28.7,53.04,7.33,54.66,Mothbeans
30.66,56.55,21.42,25.9,61.02,9.42,87.96,Mothbeans
20.48,49.02,14.79,29.11,49.07,9.88,43.79,Mothbeans
16.94,44.55,15.06,29.5,39.59,6.8,29.12,Mothbeans
25.5,57.77,20.9,26.27,52.3,6.78,57.82,Mothbeans
18.96,51.2,13.24,26.74,49.45,7.78,52.75,Mothbeans
18.72,41.34,20.5,27.84,48.88,5.97,60.33,Mothbeans
24.26,46.95,25.42,25.15,40.93,8.02,44.87,Mothbeans
25.51,42.62,19.35,31.2,57.51,8.15,36.57,Mothbeans
20.31,29.76,17.98,29.91,55.73,6.39,52.25,Mothbeans
23.19,48.78,21.91,24.77,54.37,8.27,47.83,Mothbeans
31.88,65.09,19.74,28.79,47.89,7.04,57.68,Mothbeans
28.72,41.13,20.52,30.92,55.3,8.31,49.83,Mothbeans
32.19,49.25,17.62,28.64,46.3,5.72,54.63,Mothbeans
29.36,40.07,22.63,29.14,48.1,4.25,50.87,Mothbeans
24.71,48.21,19.09,23.99,50.07,6.25,59.63,Mothbeans
23.14,57.99,15.22,30.62,51.1,8.15,53.4,Mothbeans
34.62,45.08,17.25,30.84,51.79,7.11,66.39,Mothbeans
21.05,51.22,18.53,27.74,52.95,4.31,43.74,Mothbeans
35.94,53.04,19.84,28.49,50.66,8.95,50.25,Mothbeans
28.95,54.66,18.06,31.12,42.93,9.4,48.31,Mothbeans
25.98,35.69,18.86,25.92,48.7,6.53,63.28,Mothbeans
28.8,49.42,17.26,26.24,63.74,5.56,71.13,Mothbeans
25.98,47.51,22.68,30.54,51.81,6.12,51.87,Mothbeans
29.61,53.07,20.01,29.24,62.74,7.37,56.01,Mothbeans
18.01,31.06,20.97,27.81,49.28,7.15,51.82,Mothbeans
34.55,48.04,18.13,29.98,51.14,7.61,47.13,Mothbeans
23.44,48.03,20.03,28.96,50.82,3.77,47.63,Mothbeans
32.46,45.64,19.38,29.97,48.05,4.24,50.69,Mothbeans
24.47,41.46,19.56,28.98,52.44,7.25,72.9,Mothbeans
25.36,49.24,18.73,26.31,48.84,5.97,56.54,Mothbeans
42.18,43.02,18.96,27.87,54.97,7.18,66.95,Mothbeans
12.34,32.58,18.76,30.19,42.71,3.5,58.93,Mothbeans
29.02,40.69,17.54,27.77,85.28,6.54,50.59,Mungbean
9.66,42.14,17.18,28.31,83.65,6.9,35.88,Mungbean
27.78,50.99,24.64,28.14,85.81,6.25,32.55,Mungbean
32.78,47.47,22.95,27.47,86.3,7.17,50.12,Mungbean
29.23,47.55,16.07,29.52,83.47,6.83,37.73,Mungbean
20.13,56.47,19.13,29.59,84.8,6.24,53.08,Mungbean
23.81,51.87,20.06,27.34,85.41,7.25,50.58,Mungbean
27.14,54.22,20.53,28.66,82.27,6.76,53.97,Mungbean
22.27,56.4,19.77,27.83,87.49,6.63,52.25,Mungbean
25.68,47.13,21.23,28.72,80.01,6.42,53.31,Mungbean
26.67,44.23,16.6,27.69,79.95,6.67,43.76,Mungbean
21.46,47.07,20.91,30.07,81.22,6.99,53.58,Mungbean
22.63,48.77,18.86,28.64,88.77,6.85,50.68,Mungbean
24.81,38.22,19.48,29.4,81.18,6.44,48.29,Mungbean
21.35,42.55,18.94,27.48,82.56,6.88,39.33,Mungbean
17.51,43.56,21.83,28.35,83.84,6.71,36.59,Mungbean
30.59,49.9,18.98,29.25,82.18,6.98,48.47,Mungbean
25.4,47.38,19.73,29.42,82.31,6.51,53.98,Mungbean
23.78,53.13,24.25,28.2,86.7,6.41,52.22,Mungbean
28.75,50.46,18.39,27.25,86.26,6.18,45.52,Mungbean
33.38,48.7,24.87,29.27,83.37,6.71,47.2,Mungbean
17.61,41.62,18.6,26.97,85.12,6.64,37.04,Mungbean
30.03,51.97,20.57,28.26,86.48,6.87,49.42,Mungbean
22.35,49.23,22.99,28.05,90.24,6.57,47.7,Mungbean
23.3,48.9,15.64,28.09,82.27,6.73,53.72,Mungbean
31.54,32.68,25.11,28.72,83.06,6.74,48.6,Mungbean
23.33,48.74,18.48,28.2,83.28,6.34,48.41,Mungbean
31.16,50.72,22.05,28.74,83.67,6.91,39.02,Mungbean
21.87,41.47,22.7,29.21,86.22,6.97,42.0,Mungbean
29.68,46.72,22.12,28.41,84.04,6.84,52.98,Mungbean
23.32,47.12,17.35,26.63,85.5,6.85,49.14,Mungbean
15.32,45.31,14.45,29.53,82.28,7.01,53.41,Mungbean
21.87,40.42,20.88,27.87,85.26,6.58,36.37,Mungbean
13.56,48.92,18.6,28.09,86.74,6.99,45.8,Mungbean
25.37,50.63,16.61,28.67,86.38,6.87,35.4,Mungbean
22.74,42.01,20.25,28.86,88.74,6.58,44.39,Mungbean
34.69,49.35,23.17,28.72,82.11,6.37,37.8,Mungbean
31.64,54.93,24.62,29.13,87.91,6.55,40.27,Mungbean
32.81,50.11,20.27,28.79,85.81,7.02,55.59,Mungbean
30.9,52.79,21.29,28.15,86.89,6.35,54.09,Mungbean
20.03,49.29,17.89,28.92,84.92,6.3,50.13,Mungbean
23.89,53.01,20.0,28.8,82.61,6.55,44.63,Mungbean
32.85,57.98,17.99,29.31,79.58,6.4,41.51,Mungbean
19.05,37.6,21.03,28.34,85.95,6.87,49.16,Mungbean
31.61,47.07,17.03,29.29,83.53,6.47,46.39,Mungbean
21.79,44.89,20.86,28.76,82.76,6.58,54.21,Mungbean
30.6,60.47,22.95,29.36,81.53,6.89,47.17,Mungbean
24.06,48.55,22.36,28.88,82.8,6.89,43.52,Mungbean
28.85,45.6,19.45,29.07,82.4,7.19,36.12,Mungbean
23.76,49.81,21.46,28.42,84.86,6.8,46.06,Mungbean
36.21,52.75,22.18,27.78,84.8,6.62,41.21,Mungbean
29.75,44.14,21.64,27.7,89.3,6.48,48.87,Mungbean
32.45,43.93,22.13,27.58,88.63,6.7,43.77,Mungbean
25.63,52.56,18.54,27.94,84.45,6.41,58.88,Mungbean
23.96,52.7,20.52,27.76,84.99,6.9,46.32,Mungbean
34.96,53.88,22.3,28.16,82.3,6.55,48.73,Mungbean
30.91,33.93,19.98,28.62,84.31,7.02,50.14,Mungbean
35.69,46.15,22.34,29.73,88.28,6.43,45.91,Mungbean
25.34,50.56,21.72,27.87,85.17,6.2,56.51,Mungbean
24.3,47.85,19.23,29.36,77.91,6.7,46.84,Mungbean
24.66,58.29,17.78,29.08,85.89,7.02,43.33,Mungbean
22.92,54.35,21.06,27.34,83.65,6.8,52.74,Mungbean
23.25,29.29,21.31,27.58,79.96,5.99,52.59,Mungbean
28.3,46.09,23.47,28.98,89.04,6.35,47.28,Mungbean
17.4,46.07,19.38,28.97,85.11,6.86,51.9,Mungbean
40.97,45.53,17.65,28.68,82.99,7.07,45.73,Mungbean
23.97,44.55,21.8,28.38,83.4,7.12,42.15,Mungbean
27.72,51.58,15.92,28.86,82.36,6.91,41.48,Mungbean
31.83,54.41,22.15,28.69,84.42,6.56,56.69,Mungbean
23.13,41.02,21.66,27.9,82.62,6.34,44.48,Mungbean
26.98,49.02,22.38,28.9,84.52,6.65,50.69,Mungbean
35.45,48.29,18.83,27.76,81.39,6.87,51.11,Mungbean
31.11,46.7,23.52,28.14,87.39,6.69,43.7,Mungbean
31.2,50.06,20.89,28.56,84.91,7.3,54.9,Mungbean
32.02,48.2,22.52,28.89,85.07,6.62,46.99,Mungbean
7.68,48.82,18.78,29.69,85.05,6.4,47.19,Mungbean
20.96,50.46,20.73,29.22,83.02,6.71,38.97,Mungbean
31.88,50.74,21.24,28.5,86.04,7.1,45.72,Mungbean
28.37,40.71,17.83,28.57,87.76,6.64,46.03,Mungbean
24.96,44.16,20.74,27.38,88.2,6.53,52.01,Mungbean
19.56,51.68,21.68,28.79,82.51,6.76,40.11,Mungbean
25.92,53.93,21.99,28.51,82.56,6.86,47.62,Mungbean
13.0,52.39,19.94,29.4,82.26,5.91,49.24,Mungbean
29.32,36.93,17.55,30.57,84.24,6.88,43.43,Mungbean
14.44,46.44,19.34,28.2,84.71,6.77,46.56,Mungbean
19.6,50.54,15.13,26.96,86.85,6.83,47.14,Mungbean
18.78,43.08,19.34,27.3,83.15,6.86,56.42,Mungbean
24.88,52.23,15.21,28.99,82.99,6.78,45.95,Mungbean
35.75,42.03,21.57,28.29,84.6,6.65,42.21,Mungbean
27.41,47.11,20.6,28.56,86.99,6.93,40.93,Mungbean
32.93,40.09,21.47,28.96,80.22,6.72,44.57,Mungbean
22.76,55.94,18.37,27.9,85.19,6.87,46.61,Mungbean
34.79,50.82,14.55,28.1,83.6,6.82,31.09,Mungbean
43.43,50.82,20.37,29.39,90.86,6.92,53.43,Mungbean
28.32,46.62,18.81,27.88,83.28,6.36,47.03,Mungbean
16.97,48.69,19.91,28.61,83.69,7.47,56.0,Mungbean
19.72,48.96,18.48,27.74,81.65,6.81,43.24,Mungbean
33.55,53.71,23.43,27.86,86.19,6.86,44.54,Mungbean
22.68,57.56,20.57,28.98,82.94,6.4,43.94,Mungbean
26.72,40.85,19.98,27.23,82.2,6.87,51.27,Mungbean
45.05,61.14,17.43,29.07,69.92,7.23,65.64,Blackgram
40.29,69.17,17.94,28.7,72.47,7.21,68.09,Blackgram
39.55,68.82,22.66,29.06,72.57,7.32,73.74,Blackgram
49.41,71.17,23.54,31.12,65.62,6.89,68.39,Blackgram
39.43,66.6,22.74,24.52,73.25,7.28,65.78,Blackgram
50.9,67.52,23.07,32.46,62.25,7.15,66.73,Blackgram
48.02,62.95,24.37,32.6,64.73,6.67,66.05,Blackgram
50.22,69.0,23.13,31.97,71.14,7.08,62.29,Blackgram
46.28,74.13,19.87,31.26,66.3,6.74,67.04,Blackgram
49.43,63.4,19.41,27.65,71.7,6.93,72.95,Blackgram
57.05,66.99,17.48,24.79,61.98,6.66,72.67,Blackgram
48.22,69.94,14.45,27.01,70.83,7.07,66.95,Blackgram
51.03,77.72,19.45,30.17,68.22,7.6,59.63,Blackgram
51.77,66.78,21.42,28.36,67.32,7.18,79.17,Blackgram
52.55,62.2,18.94,28.87,60.77,6.92,70.25,Blackgram
39.54,74.05,21.22,28.16,66.97,7.4,70.25,Blackgram
47.55,66.01,20.19,28.72,59.61,7.51,68.08,Blackgram
49.99,67.14,18.16,29.54,61.5,7.57,62.87,Blackgram
41.05,64.75,23.22,30.04,62.86,7.31,70.24,Blackgram
50.87,71.97,25.99,35.46,64.92,7.41,68.94,Blackgram
50.62,56.92,19.57,27.97,70.61,7.27,59.72,Blackgram
47.36,74.51,19.53,31.82,68.82,7.09,66.48,Blackgram
39.9,60.49,21.77,30.05,66.98,6.89,66.36,Blackgram
54.04,65.4,16.65,31.86,66.73,7.01,73.53,Blackgram
47.37,69.31,17.05,29.45,69.79,6.61,68.25,Blackgram
48.13,67.76,22.59,30.84,73.04,6.75,68.01,Blackgram
48.03,60.82,22.39,35.81,67.44,7.13,67.82,Blackgram
43.04,56.12,18.24,26.52,73.89,6.97,66.2,Blackgram
53.06,60.49,18.08,30.17,71.36,7.13,68.43,Blackgram
47.99,70.0,20.5,27.43,67.67,6.73,67.8,Blackgram
44.5,83.37,19.9,26.49,67.0,7.13,73.78,Blackgram
43.82,57.61,22.04,26.55,65.86,6.94,67.24,Blackgram
51.81,63.23,19.32,29.96,68.06,7.02,69.14,Blackgram
52.77,69.95,21.13,26.04,67.69,7.12,70.23,Blackgram
43.17,63.38,18.56,31.34,71.38,6.9,70.9,Blackgram
48.27,66.72,19.47,31.87,68.72,7.57,64.3,Blackgram
50.74,64.19,17.83,29.97,68.02,7.73,66.81,Blackgram
40.44,69.21,14.81,29.77,67.56,7.2,71.15,Blackgram
44.35,66.56,18.08,27.18,68.66,6.68,65.95,Blackgram
41.28,70.94,24.5,26.75,60.55,6.97,67.56,Blackgram
48.87,64.71,19.5,30.92,71.4,6.51,66.12,Blackgram
48.84,61.76,24.33,28.41,67.35,7.14,65.28,Blackgram
35.96,64.82,22.57,29.16,64.33,7.23,66.26,Blackgram
44.31,68.43,21.93,35.95,70.6,7.29,65.6,Blackgram
41.09,67.89,20.27,27.3,66.84,7.1,68.85,Blackgram
50.65,69.32,18.73,28.72,63.0,7.45,67.55,Blackgram
46.09,61.7,27.34,27.32,65.89,7.1,69.75,Blackgram
53.49,78.8,21.27,27.36,66.54,7.08,75.26,Blackgram
38.76,75.02,20.45,32.09,67.12,6.79,70.32,Blackgram
51.59,73.58,19.97,28.5,61.65,7.2,69.09,Blackgram
41.46,64.13,18.83,26.29,64.43,6.72,65.95,Blackgram
42.88,57.33,25.06,33.13,64.58,7.07,69.07,Blackgram
54.94,62.38,22.73,28.63,62.49,7.18,72.34,Blackgram
63.67,60.0,21.75,28.98,70.44,6.63,62.76,Blackgram
42.65,67.99,18.4,31.65,71.35,7.15,73.57,Blackgram
50.1,59.89,23.41,28.49,70.91,7.39,69.21,Blackgram
38.15,61.76,23.31,29.58,67.8,7.19,70.11,Blackgram
49.24,66.2,19.22,32.14,69.58,6.94,71.56,Blackgram
46.69,62.18,18.1,27.55,66.48,7.31,64.48,Blackgram
48.68,63.4,19.35,26.22,66.67,6.95,69.53,Blackgram
48.9,60.01,22.71,30.53,68.24,7.0,65.56,Blackgram
48.86,70.47,15.63,28.65,66.54,7.06,71.97,Blackgram
42.68,64.39,18.72,28.0,66.2,7.19,63.55,Blackgram
50.17,56.86,18.6,29.18,73.78,6.93,59.25,Blackgram
35.01,67.71,21.53,30.94,68.13,7.29,65.48,Blackgram
53.09,57.3,17.74,25.48,66.47,6.99,67.93,Blackgram
47.89,61.7,19.52,26.26,72.61,6.92,65.67,Blackgram
57.43,59.74,17.19,27.26,67.25,7.11,70.27,Blackgram
63.57,53.44,21.52,28.61,65.3,6.85,64.09,Blackgram
58.03,72.76,20.06,33.38,61.83,6.67,59.33,Blackgram
43.13,68.51,20.26,30.37,62.21,7.2,68.4,Blackgram
52.08,55.67,20.78,27.03,66.01,7.13,67.84,Blackgram
42.18,67.54,16.17,32.88,66.73,7.28,65.53,Blackgram
44.23,62.72,22.19,28.23,69.92,6.9,60.09,Blackgram
43.94,60.13,20.08,27.02,70.97,6.98,66.83,Blackgram
51.6,73.52,19.95,28.07,60.85,6.83,65.19,Blackgram
48.17,65.34,21.72,28.47,67.29,7.3,68.78,Blackgram
47.12,63.74,18.42,27.87,65.47,7.19,66.67,Blackgram
39.06,78.55,20.8,26.48,65.84,7.03,73.89,Blackgram
40.57,73.6,23.5,28.43,66.46,6.74,66.74,Blackgram
47.27,71.62,22.73,28.13,60.12,6.99,68.6,Blackgram
49.06,65.46,20.31,33.79,68.93,6.91,65.62,Blackgram
46.44,77.73,19.54,29.95,65.69,7.27,74.85,Blackgram
50.32,68.02,20.09,24.04,70.29,7.03,69.11,Blackgram
43.05,65.1,18.97,32.55,66.08,7.52,69.12,Blackgram
39.53,66.7,18.37,24.51,73.5,7.18,69.5,Blackgram
48.53,58.86,18.79,32.1,63.56,6.37,66.65,Blackgram
46.61,68.35,21.82,31.59,68.47,7.3,61.8,Blackgram
50.65,71.42,16.9,26.24,64.7,6.83,70.33,Blackgram
43.66,62.15,18.47,32.8,67.55,6.96,67.09,Blackgram
55.58,62.82,23.29,30.53,66.9,7.63,63.54,Blackgram
45.29,59.8,22.38,34.22,73.76,7.31,66.76,Blackgram
45.22,57.06,25.09,31.17,65.66,7.33,63.85,Blackgram
50.04,66.42,21.6,29.84,62.06,7.02,71.43,Blackgram
47.32,72.34,17.39,29.93,65.16,7.19,67.62,Blackgram
51.81,74.3,21.73,30.68,63.76,7.0,65.5,Blackgram
45.35,65.16,17.55,25.11,64.99,7.05,62.44,Blackgram
47.6,79.38,22.56,34.11,68.97,7.29,64.79,Blackgram
43.47,50.38,22.97,33.85,65.43,6.94,64.67,Blackgram
49.89,74.53,15.64,31.02,66.46,7.03,69.22,Blackgram
26.32,66.85,19.47,26.91,66.05,6.73,38.65,Lentil
25.13,73.12,20.09,25.98,69.42,7.04,45.47,Lentil
24.31,51.54,19.58,23.02,65.98,6.59,43.4,Lentil
16.38,61.63,21.19,29.15,64.76,6.77,49.76,Lentil
22.43,69.79,18.15,26.59,65.38,6.76,41.09,Lentil
31.92,80.53,17.48,22.98,65.58,6.94,42.2,Lentil
9.79,75.99,21.9,18.77,63.48,7.24,52.24,Lentil
33.37,66.4,20.21,23.61,67.82,6.32,40.97,Lentil
33.81,67.22,23.45,21.99,64.86,6.3,45.04,Lentil
18.26,64.45,16.41,26.08,66.79,6.0,51.67,Lentil
43.11,67.79,18.4,32.47,61.7,6.66,45.9,Lentil
35.91,69.75,18.75,21.15,64.15,6.27,45.24,Lentil
23.97,58.16,23.14,22.51,61.83,6.59,45.34,Lentil
16.58,69.57,17.38,29.13,66.31,6.5,41.27,Lentil
