crop,area_acres,yield_tons,selling_price_per_ton,estimated_expenses,expected_revenue,expected_profit
Rice,7.08,20.96,420.61,7202.73,8815.71,1612.99
Wheat,11.73,159.61,499.44,5962.04,79717.75,73755.7
Potato,9.91,143.28,318.34,7844.8,45611.2,37766.39
Potato,11.46,157.13,1150.31,6229.36,180747.21,174517.84
Cotton,6.07,42.62,226.2,1997.64,9639.84,7642.2
Potato,9.21,119.85,1129.62,11412.97,135379.75,123966.78
Wheat,4.63,39.77,1072.73,6066.99,42662.44,36595.45
Sugarcane,7.73,67.12,1137.35,8871.11,76343.0,67471.89
Maize,2.13,28.76,696.46,1754.29,20028.2,18273.91
Rice,1.1,2.69,425.22,502.65,1142.04,639.39
Rice,11.52,142.14,1156.61,4408.99,164406.75,159997.76
Cotton,1.62,3.41,475.72,1024.52,1621.75,597.23
Potato,4.49,26.9,959.4,3773.26,25811.87,22038.61
Sugarcane,4.75,19.4,1053.09,1691.46,20427.33,18735.88
Maize,13.69,51.99,732.42,10860.58,38077.76,27217.18
Tomato,2.21,11.95,932.45,2117.09,11141.87,9024.77
Soybean,8.84,149.94,252.26,7096.45,37824.77,30728.32
Soybean,9.74,94.1,1179.55,4617.28,110992.15,106374.87
Tomato,3.77,40.86,663.93,5533.29,27126.84,21593.55
Soybean,14.54,65.73,222.04,16928.18,14594.53,-2333.64
Tomato,4.51,70.12,761.22,4188.87,53375.79,49186.92
Sugarcane,4.18,34.16,742.55,5229.83,25367.47,20137.64
Rice,8.61,24.52,658.3,7590.47,16144.16,8553.68
Sugarcane,2.97,37.05,416.09,1240.15,15414.62,14174.48
Soybean,6.76,82.81,745.43,2534.93,61727.22,59192.29
Soybean,2.57,18.93,1178.06,3216.03,22299.17,19083.13
Rice,3.82,22.03,364.71,2659.07,8032.89,5373.82
Potato,11.56,20.76,326.25,12615.66,6772.53,-5843.12
Cotton,13.19,71.75,651.24,19544.6,46723.21,27178.61
Maize,8.81,93.55,294.15,6277.44,27517.77,21240.33
Cotton,8.54,82.97,305.47,9294.67,25346.52,16051.86
Rice,6.56,19.96,641.07,3509.62,12796.21,9286.59
Cotton,8.33,51.94,992.85,8269.26,51568.42,43299.16
Sugarcane,5.37,65.03,395.84,7394.97,25743.17,18348.19
Maize,3.21,41.69,993.26,2184.1,41410.11,39226.01
Wheat,6.08,99.18,368.85,5526.54,36583.45,31056.91
Cotton,3.83,17.38,1093.99,4154.2,19012.45,14858.26
Wheat,5.38,79.02,1167.76,7151.65,92280.47,85128.82
Rice,12.25,120.49,1167.13,9816.45,140632.15,130815.7
Tomato,2.71,36.55,523.01,4061.6,19114.25,15052.65
Maize,6.98,29.17,212.61,6787.23,6202.76,-584.47
Rice,1.41,21.28,409.75,1065.14,8718.6,7653.45
Wheat,3.62,56.75,1019.06,3438.78,57829.72,54390.94
Wheat,11.63,207.12,1101.3,12588.17,228104.61,215516.43
Rice,6.01,58.02,1028.25,4219.94,59654.52,55434.58
Maize,4.42,14.87,287.18,5140.87,4270.22,-870.65
Wheat,2.99,21.63,650.35,3580.92,14069.28,10488.36
Rice,7.1,78.24,938.07,8995.08,73396.94,64401.86
Potato,14.71,175.95,326.26,16346.07,57406.45,41060.38
Maize,5.41,8.45,881.67,2707.46,7453.61,4746.16
Cotton,4.18,64.01,479.28,4479.25,30677.79,26198.54
Cotton,13.13,66.39,560.38,5018.15,37200.96,32182.81
Rice,5.26,64.52,1138.3,7070.65,73443.06,66372.41
Tomato,12.3,30.45,1098.85,13299.18,33461.97,20162.79
Potato,10.39,111.67,310.99,8691.1,34727.21,26036.12
Potato,4.17,32.54,328.85,3319.82,10702.3,7382.48
Tomato,2.55,21.6,242.02,3029.21,5228.82,2199.6
Maize,14.53,52.34,907.69,21316.52,47510.32,26193.8
Wheat,11.56,170.8,218.01,16817.51,37235.72,20418.21
Tomato,8.83,104.76,732.68,9376.9,76754.68,67377.77
Cotton,2.58,33.78,740.7,1071.26,25017.18,23945.92
Potato,1.65,17.87,483.83,2122.07,8645.95,6523.87
Sugarcane,5.16,33.28,943.19,1846.58,31392.95,29546.37
Cotton,13.28,212.17,530.41,9409.67,112535.18,103125.52
Soybean,3.59,10.08,439.51,4505.84,4428.37,-77.47
Potato,7.01,41.48,989.16,6924.59,41029.25,34104.66
Sugarcane,1.89,28.78,798.98,828.09,22991.55,22163.46
Sugarcane,8.35,17.03,1068.55,3154.43,18197.01,15042.58
Soybean,9.0,90.39,630.43,6126.3,56983.76,50857.47
Cotton,7.5,28.28,540.82,3734.45,15292.29,11557.84
Potato,9.5,113.2,791.7,10859.17,89618.99,78759.81
Cotton,10.47,38.46,434.18,13025.69,16696.82,3671.12
Wheat,10.13,174.09,800.65,12079.49,139386.22,127306.74
Rice,4.77,39.15,1091.48,1446.33,42729.42,41283.08
Sugarcane,7.61,17.16,340.02,4813.97,5834.11,1020.14
Rice,7.31,67.98,822.52,6310.58,55914.89,49604.31
Soybean,4.93,24.23,716.57,1511.44,17363.04,15851.6
Potato,1.69,25.82,1043.92,1086.69,26951.13,25864.44
Tomato,12.24,133.85,712.67,7980.29,95390.13,87409.84
Potato,4.89,73.22,484.56,6267.61,35480.45,29212.84
Sugarcane,5.83,57.59,1074.22,5204.64,61860.54,56655.9
Wheat,1.63,14.55,1129.43,811.12,16428.06,15616.95
Soybean,6.91,57.19,1107.61,7988.66,63345.47,55356.81
Cotton,10.44,66.8,918.43,15090.64,61353.96,46263.32
Sugarcane,1.02,12.26,251.14,622.48,3079.82,2457.34
Tomato,1.57,24.9,456.69,1722.02,11371.3,9649.28
Rice,7.39,56.07,321.03,5930.07,17998.29,12068.22
Cotton,13.6,111.15,521.08,16322.96,57917.2,41594.23
Maize,10.36,131.55,561.92,10488.41,73921.73,63433.32
Maize,8.03,30.45,315.74,3896.12,9612.73,5716.62
Wheat,11.14,38.85,1102.45,4228.56,42835.35,38606.79
Soybean,14.88,223.61,894.88,13970.02,200108.86,186138.84
Wheat,7.8,86.03,243.74,3493.1,20968.82,17475.72
Rice,4.02,37.02,1016.72,1532.86,37642.66,36109.8
Sugarcane,10.69,91.91,872.97,6742.68,80234.8,73492.12
Sugarcane,13.06,146.84,426.28,9943.15,62594.84,52651.69
Wheat,13.01,216.22,630.99,8878.33,136429.03,127550.7
Soybean,1.17,8.92,227.42,904.54,2027.82,1123.28
Soybean,6.24,26.56,630.53,2941.51,16744.23,13802.73
Soybean,11.67,199.73,539.77,10741.38,107807.78,97066.41
Maize,9.92,70.61,271.71,7849.56,19184.52,11334.96
Rice,2.42,37.42,731.09,3167.27,27357.02,24189.75
Soybean,14.83,133.36,888.27,6951.45,118459.75,111508.3
Sugarcane,4.2,74.02,731.91,1943.83,54173.64,52229.81
Maize,1.55,3.11,587.99,760.65,1827.78,1067.13
Maize,5.38,21.14,687.85,2455.82,14543.84,12088.02
Maize,2.63,45.36,513.97,3587.26,23312.02,19724.76
Cotton,14.93,156.73,288.2,15349.77,45168.71,29818.94
Potato,6.45,50.72,540.39,6128.1,27410.97,21282.87
Sugarcane,7.69,79.07,368.34,4585.64,29125.72,24540.08
Tomato,7.17,46.5,459.33,3823.5,21358.04,17534.53
Rice,8.1,102.74,435.04,10509.8,44694.28,34184.48
Cotton,5.86,64.94,339.2,4882.08,22026.15,17144.07
Tomato,12.43,61.19,982.39,14691.4,60108.08,45416.68
Maize,9.73,105.98,820.66,5268.27,86973.97,81705.7
Sugarcane,3.07,47.82,910.88,4264.65,43557.59,39292.94
Tomato,14.5,239.28,922.14,13627.55,220648.27,207020.73
Cotton,1.53,21.15,749.32,565.66,15846.89,15281.23
Soybean,4.86,77.64,1144.04,2326.14,88818.63,86492.5
Wheat,8.18,24.91,954.62,7283.36,23784.29,16500.93
Tomato,6.25,38.88,403.22,7594.09,15675.35,8081.26
Tomato,9.48,157.94,562.27,11100.42,88803.53,77703.1
Sugarcane,14.73,121.16,1027.52,17933.22,124493.36,106560.14
Cotton,12.29,115.08,1196.12,4564.92,137649.54,133084.61
Sugarcane,7.15,110.62,1093.09,2680.17,120914.04,118233.87
Potato,4.58,9.21,1171.53,2589.85,10785.34,8195.48
Tomato,1.27,11.88,887.72,1479.63,10541.71,9062.07
Potato,8.38,100.05,844.47,10759.38,84485.7,73726.32
Rice,4.9,24.4,1157.45,1522.94,28240.14,26717.21
Wheat,3.81,68.23,289.81,1153.33,19773.22,18619.9
Wheat,11.33,172.94,940.48,5341.27,162642.94,157301.66
Soybean,14.12,212.66,1009.18,19220.7,214614.45,195393.75
Wheat,9.59,28.41,687.63,3770.77,19533.25,15762.48
Soybean,10.62,20.23,506.14,10187.65,10239.1,51.45
Potato,12.32,211.05,272.32,17809.62,57471.13,39661.51
Wheat,13.17,167.84,312.93,17252.88,52522.9,35270.02
Cotton,10.9,25.38,272.9,8538.96,6926.61,-1612.36
Tomato,3.96,62.28,601.31,2575.15,37452.3,34877.15
Soybean,6.67,109.75,521.5,5815.65,57234.52,51418.86
Rice,8.69,44.45,233.67,4842.76,10387.47,5544.71
Wheat,10.07,35.53,1088.66,9099.76,38676.71,29576.94
Potato,7.36,110.72,754.66,7829.74,83558.14,75728.4
Maize,4.39,58.26,1022.53,5548.51,59573.79,54025.28
Potato,8.89,30.92,1116.79,10350.34,34527.45,24177.11
Cotton,7.95,49.24,333.83,8394.92,16436.97,8042.04
Wheat,4.8,39.09,302.75,2529.74,11833.6,9303.86
Sugarcane,1.66,10.03,906.98,621.35,9096.62,8475.27
Maize,7.54,53.64,1140.45,3009.43,61171.5,58162.06
Cotton,2.43,18.06,470.39,3181.75,8496.47,5314.72
Cotton,9.01,148.31,1142.98,7266.05,169512.41,162246.36
Potato,6.28,109.36,289.29,7064.14,31636.85,24572.71
Maize,8.9,150.03,1044.25,9893.39,156665.07,146771.68
Tomato,3.34,44.27,866.39,4870.04,38355.51,33485.47
Cotton,2.81,35.62,1143.98,1752.71,40747.0,38994.3
Cotton,11.95,144.88,248.19,8744.85,35957.43,27212.57
Soybean,6.39,100.9,675.97,2768.7,68204.67,65435.96
Soybean,6.16,46.84,252.36,7524.18,11820.88,4296.7
Maize,8.73,72.98,919.65,6506.52,67116.29,60609.77
Potato,7.61,121.96,415.74,8474.96,50705.0,42230.04
Sugarcane,1.5,12.04,1130.81,677.72,13620.4,12942.68
Wheat,5.42,65.78,595.13,6263.29,39149.26,32885.97
Potato,9.11,26.49,243.01,10021.48,6436.91,-3584.57
Rice,2.56,25.64,467.59,3336.12,11989.89,8653.76
Potato,4.39,72.52,1038.27,5049.94,75294.46,70244.53
Potato,6.79,65.41,604.29,6364.01,39528.22,33164.2
Potato,4.73,63.71,1077.65,1656.65,68660.02,67003.36
Maize,10.49,69.68,973.99,12871.12,67872.26,55001.13
Soybean,2.84,44.44,775.36,1112.81,34460.46,33347.65
Tomato,12.3,42.85,465.58,3949.13,19948.68,15999.55
Sugarcane,5.79,79.22,423.26,6191.56,33532.15,27340.58
Cotton,1.02,6.57,846.46,1496.87,5560.28,4063.41
Tomato,10.46,110.07,1029.76,10744.42,113346.66,102602.24
Soybean,7.41,59.79,502.92,2807.89,30070.73,27262.83
Rice,14.12,161.77,673.4,5249.06,108937.88,103688.82
Cotton,1.81,31.32,1142.72,2248.21,35785.92,33537.71
Soybean,10.11,122.73,761.29,12462.88,93436.43,80973.54
Rice,4.16,19.66,340.8,4350.21,6700.16,2349.95
Maize,5.41,32.79,1181.65,5047.93,38741.44,33693.52
Cotton,6.43,81.22,459.9,4595.59,37354.12,32758.53
Cotton,5.72,77.04,738.81,2133.19,56918.82,54785.64
Potato,1.87,7.35,207.84,1977.68,1528.33,-449.35
Wheat,1.62,13.57,501.92,1970.28,6812.34,4842.06
Soybean,8.01,101.82,276.24,5042.48,28125.94,23083.46
Potato,11.65,122.62,380.31,9907.87,46631.73,36723.87
Wheat,3.32,29.39,409.19,1195.3,12026.44,10831.14
Rice,2.92,52.28,727.23,2247.52,38021.27,35773.75
Cotton,14.45,68.62,1151.43,21583.34,79012.5,57429.16
Soybean,14.34,145.17,419.12,12201.78,60843.79,48642.01
Maize,9.31,25.19,822.34,13754.5,20715.67,6961.17
Cotton,12.61,171.26,555.04,14351.53,95058.68,80707.15
Wheat,8.3,146.3,957.31,4100.46,140054.47,135954.01
Soybean,11.82,78.21,432.04,10048.36,33790.17,23741.81
Rice,3.28,35.48,971.63,2945.67,34471.93,31526.26
Rice,12.7,183.36,576.99,12218.2,105798.05,93579.84
Tomato,9.88,51.03,521.67,13019.83,26620.01,13600.18
Soybean,12.32,70.05,445.81,9647.22,31230.23,21583.01
Cotton,10.27,35.5,488.88,7987.11,17355.39,9368.28
Wheat,14.37,138.82,712.72,12612.96,98942.86,86329.91
Wheat,6.49,90.57,1118.43,9359.19,101292.56,91933.36
Wheat,4.86,57.14,1192.44,3709.26,68140.87,64431.61
Sugarcane,6.02,74.25,440.4,3190.12,32701.55,29511.43
Sugarcane,14.64,28.61,1039.82,17600.59,29749.04,12148.45
Sugarcane,1.5,6.61,1066.77,961.19,7046.51,6085.32
Sugarcane,7.04,94.09,763.32,5722.99,71820.18,66097.19
Cotton,11.62,71.61,553.05,15957.19,39604.29,23647.1
Tomato,12.84,104.22,963.11,16537.7,100374.08,83836.38
Cotton,7.97,38.85,791.13,4168.88,30735.25,26566.37
Wheat,9.31,19.01,836.04,6865.95,15894.55,9028.6
Maize,14.17,139.79,609.41,18040.43,85186.81,67146.38
Soybean,1.67,22.49,973.91,1205.43,21902.95,20697.52
Cotton,3.12,49.81,739.09,1995.07,36812.56,34817.49
Tomato,14.03,111.78,746.7,13170.0,83468.62,70298.62
Sugarcane,6.83,69.15,254.63,10027.17,17607.65,7580.48
Tomato,3.85,6.42,637.48,5233.37,4090.19,-1143.17
Potato,11.21,195.66,424.29,12283.22,83018.12,70734.9
Tomato,6.82,95.69,809.63,9383.62,77476.11,68092.49
Sugarcane,10.98,164.4,381.61,8179.06,62736.0,54556.94
Wheat,14.99,122.87,420.49,18216.93,51665.87,33448.94
Potato,9.27,115.0,278.46,8836.96,32021.63,23184.66
Maize,1.29,7.66,717.6,802.8,5495.0,4692.2
Soybean,1.59,9.37,801.55,1045.4,7509.62,6464.22
Rice,2.82,30.28,980.73,3242.59,29698.77,26456.18
Wheat,6.17,104.23,1027.51,7013.06,107097.24,100084.18
Soybean,2.38,35.05,322.03,1069.24,11288.66,10219.43
Sugarcane,13.06,78.67,1007.07,6979.77,79228.08,72248.31
Sugarcane,3.99,49.74,357.33,1765.07,17774.77,16009.7
Rice,11.18,120.44,1147.09,10010.73,138158.56,128147.83
Wheat,7.76,76.47,587.24,10763.07,44903.17,34140.1
Rice,1.35,20.76,211.42,1548.09,4388.03,2839.93
Potato,12.81,39.81,758.98,11542.02,30217.56,18675.54
Potato,8.65,151.0,251.67,7834.8,38000.85,30166.05
Wheat,7.75,26.78,1161.51,8970.99,31108.91,22137.92
Wheat,6.55,24.07,1065.3,3202.02,25637.98,22435.95
Cotton,9.75,65.55,1016.41,8793.1,66628.45,57835.35
Soybean,4.51,53.22,771.75,5855.8,41075.61,35219.82
Wheat,9.79,54.68,362.82,5133.87,19837.71,14703.84
Cotton,5.03,32.99,552.96,5255.84,18239.51,12983.67
Rice,7.03,112.35,805.5,4192.35,90496.73,86304.38
Rice,5.0,43.21,885.44,3495.17,38258.79,34763.62
Maize,3.88,30.21,1182.05,4812.88,35704.65,30891.78
Tomato,9.85,47.13,618.33,11833.45,29139.31,17305.86
Soybean,14.87,102.07,1141.27,20776.56,116494.0,95717.43
Soybean,1.95,19.56,379.36,2849.11,7421.99,4572.88
Sugarcane,14.71,156.84,389.82,14685.11,61139.83,46454.72
Rice,5.85,47.17,464.28,3197.17,21897.74,18700.57
Rice,11.36,135.29,749.61,12813.61,101410.78,88597.17
Maize,9.45,26.18,275.58,13625.47,7214.94,-6410.53
Wheat,7.03,91.19,658.02,2883.96,60006.58,57122.61
Maize,4.74,8.3,1165.02,2851.26,9667.48,6816.22
Maize,7.31,92.02,783.56,6804.57,72103.02,65298.45
Wheat,9.37,147.92,1146.73,4000.68,169620.23,165619.55
Maize,9.57,48.01,1139.06,2948.23,54686.46,51738.22
Soybean,9.23,120.58,880.11,7286.69,106119.86,98833.17
Rice,6.4,108.45,741.99,9134.51,80465.78,71331.27
Maize,6.59,101.15,388.54,7290.94,39299.71,32008.78
Soybean,10.31,100.19,942.82,7139.14,94460.12,87320.98
Cotton,11.48,190.41,634.02,7006.41,120724.16,113717.75
Sugarcane,8.18,71.42,1196.26,4702.5,85440.44,80737.94
Wheat,9.93,54.54,914.05,4067.05,49848.89,45781.84
Rice,12.46,28.97,1111.52,4178.2,32197.16,28018.96
Rice,4.0,23.88,447.56,1500.76,10689.21,9188.45
Sugarcane,6.95,35.1,797.1,7042.42,27980.81,20938.4
Potato,14.32,219.61,1005.09,18439.27,220730.09,202290.81
Wheat,4.97,71.92,597.45,4550.76,42968.45,38417.7
Tomato,11.33,114.49,268.46,8445.28,30734.71,22289.43
Rice,3.89,57.12,533.61,5201.77,30480.42,25278.66
Rice,13.53,169.14,987.39,11439.85,167006.73,155566.89
Sugarcane,13.23,159.13,1033.64,11899.89,164486.46,152586.57
Maize,10.09,171.02,264.01,13013.65,45150.46,32136.81
Potato,11.99,136.47,401.1,12090.65,54739.21,42648.56
Tomato,1.79,17.16,1127.11,761.88,19336.22,18574.34
Tomato,10.98,18.55,608.78,15471.01,11295.57,-4175.43
Sugarcane,3.25,8.65,385.65,3561.59,3334.2,-227.39
Tomato,11.09,167.84,646.2,14048.54,108457.38,94408.84
Rice,5.34,30.02,715.01,5031.28,21463.4,16432.12
Sugarcane,11.4,31.5,1072.64,14742.73,33790.78,19048.05
Potato,13.79,237.54,526.74,10004.23,125120.36,115116.13
Maize,4.8,25.56,518.61,6645.86,13256.94,6611.08
Potato,8.75,85.74,393.86,11638.85,33768.75,22129.9
Maize,13.38,96.2,661.84,10670.48,63667.05,52996.57
Tomato,9.55,39.58,873.65,4918.03,34583.13,29665.09
Potato,6.39,61.16,629.61,7592.85,38504.39,30911.54
Sugarcane,11.06,150.28,714.93,5460.77,107438.65,101977.88
Rice,5.83,48.62,932.41,7921.48,45330.13,37408.65
Maize,5.96,19.3,422.36,5501.31,8151.16,2649.85
Cotton,5.35,22.78,443.73,3325.5,10107.27,6781.77
Potato,4.07,70.63,816.3,3944.43,57655.05,53710.62
Tomato,11.55,183.47,878.98,9176.71,161266.51,152089.8
Maize,3.4,33.19,611.96,4576.74,20312.45,15735.71
Maize,1.31,22.39,896.63,1172.23,20078.45,18906.23
Sugarcane,5.72,22.06,892.07,3132.2,19683.48,16551.28
Sugarcane,11.71,148.7,972.99,16878.65,144685.88,127807.23
Rice,1.25,18.28,269.05,1089.63,4918.19,3828.56
Tomato,13.4,69.16,914.64,18193.74,63252.35,45058.6
Potato,11.13,115.05,1036.12,14307.16,119202.4,104895.24
Soybean,3.85,13.86,485.51,3609.12,6729.35,3120.24
Sugarcane,3.57,55.69,1082.56,3067.12,60286.69,57219.57
Sugarcane,6.74,82.1,215.51,4291.45,17694.2,13402.75
Maize,1.94,30.96,589.4,1840.97,18245.7,16404.73
Cotton,12.87,135.17,1181.71,10819.02,159735.1,148916.07
Sugarcane,12.25,106.02,1197.18,11896.48,126925.3,115028.83
Sugarcane,7.25,19.25,929.23,7467.56,17885.56,10418.0
Tomato,6.17,56.55,922.74,6717.82,52184.32,45466.5
Wheat,14.01,108.68,1031.37,18364.23,112088.21,93723.99
Rice,1.07,15.87,972.81,1029.37,15441.59,14412.22
Rice,9.13,77.92,748.03,8451.77,58283.98,49832.2
Potato,12.24,123.0,340.32,13532.2,41859.0,28326.79
Soybean,10.99,86.56,862.48,7869.38,74652.95,66783.57
Potato,11.5,189.58,958.72,11690.43,181754.43,170064.0
Soybean,11.84,184.32,741.65,14325.75,136703.75,122378.0
Cotton,7.63,101.7,470.94,4143.5,47895.37,43751.87
Wheat,3.6,40.97,1061.51,4826.11,43492.26,38666.16
Maize,8.1,37.26,276.97,9195.32,10320.02,1124.7
Cotton,7.21,64.48,1158.5,5896.06,74697.17,68801.11
Potato,10.69,62.63,1139.07,11373.63,71339.05,59965.42
Rice,8.4,127.1,663.11,5328.21,84284.93,78956.72
Wheat,9.33,54.76,861.97,11928.49,47200.68,35272.19
Cotton,7.46,132.25,986.71,9165.45,130490.71,121325.26
Cotton,6.16,53.16,231.15,3764.87,12287.09,8522.22
Potato,6.81,110.1,1024.33,7195.25,112780.22,105584.97
Potato,10.34,70.59,1097.92,14116.12,77505.9,63389.77
Soybean,11.31,98.38,866.77,4672.06,85275.72,80603.67
Soybean,4.49,49.42,267.26,1856.81,13207.06,11350.25
Cotton,13.64,230.63,1001.35,15131.94,230936.38,215804.44
Wheat,14.97,82.09,240.35,11875.1,19729.98,7854.88
Rice,14.46,234.38,1049.18,11380.15,245908.88,234528.73
Potato,5.38,66.14,432.02,1706.5,28574.68,26868.19
Potato,13.83,181.92,508.96,6351.49,92588.77,86237.28
Soybean,9.67,104.43,824.61,12936.39,86117.66,73181.27
Maize,6.47,17.1,838.32,7630.05,14336.72,6706.67
Maize,10.9,86.38,428.88,11080.44,37046.81,25966.38
Soybean,6.31,48.13,818.53,6684.28,39391.92,32707.64
Sugarcane,14.94,264.24,849.51,18902.06,224478.3,205576.24
Cotton,14.16,138.99,1149.2,18398.24,159722.88,141324.64
Wheat,10.49,80.28,1141.69,5251.41,91657.36,86405.95
Sugarcane,1.76,21.37,1174.25,675.98,25090.21,24414.23
Potato,3.19,38.22,799.3,1641.97,30549.68,28907.71
Cotton,1.59,17.63,652.91,2291.22,11507.56,9216.34
Maize,1.27,18.2,809.7,1445.0,14738.75,13293.75
Cotton,7.37,94.42,1110.21,7860.7,104822.69,96961.99
Maize,6.63,26.74,772.61,4190.65,20662.29,16471.64
Cotton,2.1,28.81,294.91,2126.9,8495.71,6368.81
Cotton,1.44,12.26,284.57,1485.17,3487.6,2002.43
Cotton,4.45,57.36,796.78,4011.61,45705.03,41693.41
Wheat,13.41,63.61,937.43,8630.65,59625.26,50994.61
Tomato,2.75,13.24,416.23,3109.49,5510.82,2401.33
Tomato,14.63,134.17,1047.39,5483.4,140529.85,135046.45
Cotton,5.87,50.93,595.96,6470.2,30353.81,23883.61
Maize,14.13,41.04,585.6,5444.05,24033.42,18589.37
Cotton,3.35,31.31,255.22,4798.61,7991.53,3192.93
Soybean,3.34,13.15,1173.08,4051.15,15420.7,11369.55
Soybean,2.6,4.28,355.57,1427.81,1520.73,92.91
Soybean,5.19,27.7,329.68,3155.08,9133.08,5978.0
Rice,5.95,38.63,1175.37,3000.51,45407.33,42406.82
Cotton,3.06,21.87,1064.66,1485.38,23281.99,21796.61
Tomato,2.38,36.14,906.68,2476.94,32766.9,30289.96
Potato,2.92,32.36,705.51,1380.89,22829.53,21448.64
Wheat,1.04,4.57,1075.41,866.6,4911.8,4045.21
Tomato,5.29,79.72,256.98,4244.71,20487.35,16242.64
Rice,3.67,26.52,747.24,5469.01,19818.64,14349.63
Rice,13.07,87.3,738.02,17098.36,64428.97,47330.61
Rice,11.71,199.31,215.82,10860.91,43014.92,32154.01
Sugarcane,11.38,109.59,683.18,14864.77,74868.69,60003.92
Tomato,2.64,38.77,323.23,3002.86,12531.32,9528.46
Wheat,11.67,41.78,396.42,16831.17,16563.41,-267.76
Sugarcane,8.14,111.12,712.9,10939.1,79219.06,68279.96
Potato,4.22,44.79,572.17,4614.03,25625.42,21011.39
Potato,2.84,44.36,365.3,3767.5,16205.01,12437.52
Wheat,3.56,53.84,485.71,5028.29,26149.6,21121.31
Soybean,8.82,67.27,985.64,5323.26,66301.32,60978.05
Maize,6.14,18.04,756.78,8073.41,13649.3,5575.89
Tomato,5.73,102.0,225.24,3454.44,22974.87,19520.44
Sugarcane,13.24,74.39,463.25,3981.48,34459.05,30477.57
Tomato,9.4,22.41,576.53,5439.87,12919.75,7479.88
Cotton,7.42,54.1,293.78,6551.44,15894.63,9343.18
Maize,14.28,243.99,809.94,20125.27,197614.2,177488.94
Tomato,13.72,126.52,666.3,16635.79,84302.73,67666.94
Soybean,9.61,135.04,712.92,11006.55,96274.12,85267.57
Sugarcane,11.77,94.94,1027.55,5943.24,97556.85,91613.61
Sugarcane,11.68,26.28,846.6,6682.29,22249.29,15567.0
Tomato,13.75,136.28,701.28,4953.46,95571.99,90618.53
Cotton,4.9,76.29,1128.38,7326.71,86086.23,78759.51
Cotton,1.35,12.02,437.48,485.23,5260.16,4774.92
Rice,11.83,196.3,389.14,16639.18,76387.04,59747.86
Cotton,6.32,93.0,592.09,7585.66,55066.8,47481.14
Wheat,10.12,50.38,756.46,13438.88,38112.05,24673.17
Soybean,14.01,110.53,266.17,4524.4,29420.52,24896.12
Soybean,7.04,20.72,482.8,5644.63,10002.01,4357.38
Soybean,1.42,24.68,867.87,2018.25,21421.6,19403.35
Cotton,9.36,114.97,392.31,6130.16,45105.54,38975.38
Potato,14.26,229.59,939.07,9026.14,215602.03,206575.89
Wheat,5.76,51.91,878.11,5478.3,45585.56,40107.25
Cotton,9.72,173.33,511.88,6879.77,88724.99,81845.22
Soybean,5.38,83.55,288.99,8022.77,24144.99,16122.21
Rice,14.1,64.35,572.51,19937.88,36838.73,16900.85
Cotton,3.31,18.06,910.13,2076.15,16439.92,14363.77
Tomato,14.55,129.1,701.52,8673.49,90564.02,81890.53
Potato,1.84,30.25,847.52,1155.72,25638.12,24482.4
Wheat,13.66,204.74,957.05,5009.87,195947.08,190937.21
Tomato,7.47,117.87,449.46,8673.3,52978.0,44304.69
Tomato,13.38,217.85,1109.18,9056.48,241636.09,232579.61
Tomato,2.5,21.89,929.71,3568.95,20353.15,16784.2
Sugarcane,7.02,106.77,319.89,8296.31,34154.71,25858.4
Rice,2.64,33.64,1149.9,1224.87,38677.37,37452.49
Tomato,7.07,29.8,316.58,6762.81,9434.11,2671.3
Rice,1.63,8.32,215.18,1629.73,1791.01,161.28
Sugarcane,12.49,135.54,857.03,17217.16,116165.65,98948.49
Maize,8.85,150.89,282.73,5350.68,42663.07,37312.39
Soybean,2.46,27.13,663.98,1089.47,18014.27,16924.8
Sugarcane,9.19,48.1,1095.7,11398.8,52705.26,41306.46
Soybean,1.45,17.99,732.29,616.47,13171.64,12555.17
Maize,12.05,166.87,761.26,7177.41,127029.3,119851.89
Cotton,14.77,85.44,1169.72,12074.14,99938.54,87864.4
Tomato,3.02,10.3,227.25,2803.78,2339.88,-463.9
Potato,4.17,48.51,452.86,4142.76,21970.13,17827.37
Potato,13.57,187.18,276.44,18657.39,51744.7,33087.31
Soybean,6.08,89.89,528.18,3347.0,47476.84,44129.83
Rice,12.68,94.02,1112.89,12415.69,104636.88,92221.18
Potato,6.33,93.99,1023.62,4823.46,96206.78,91383.32
Rice,4.86,23.67,216.76,5419.76,5130.94,-288.82
Maize,10.57,108.61,232.66,9207.06,25268.23,16061.17
Cotton,4.5,55.28,819.24,3141.16,45289.32,42148.15
Rice,11.01,28.94,617.67,4838.81,17875.88,13037.07
Wheat,11.83,26.34,893.34,12751.37,23531.77,10780.41
Cotton,8.71,71.01,1033.64,11127.03,73395.13,62268.09
Sugarcane,7.13,116.56,1162.26,5942.58,135475.03,129532.45
Cotton,6.78,85.83,858.16,2606.1,73656.0,71049.91
Tomato,5.03,53.74,229.16,6988.04,12314.71,5326.67
Cotton,6.87,29.37,1079.33,6651.85,31695.15,25043.3
Potato,5.45,95.24,462.34,3680.81,44035.07,40354.26
Maize,13.41,226.79,1116.42,14244.42,253187.83,238943.41
Rice,5.0,15.04,514.83,1758.24,7741.82,5983.58
Sugarcane,7.0,94.97,1024.47,3329.31,97290.24,93960.94
Sugarcane,1.11,18.99,437.14,477.56,8300.28,7822.72
